,ACR_tran,AF0941.like,AMP.binding,ATP.synt,ATPase,AhpC.TSA,Amidohydro_3,Aminotran_1_2,ApeA_NTD1,AphA_like,BBP2_2,BNR_2,Bac_DNA_binding,Bacteriocin_IIc,CASP_C,CN_hydrolase,Cas2,CTV_P6,Cas1,CbiN,CobD_Cbib,Cob_adeno_trans,Cthe_2159,Cys_Met_Meta_PP,DDE_Tnp_IS1595,DUF1184,DUF1420,DUF1689,DUF2023,DUF2027,DUF2148,DUF2583,DUF262,DUF2764,DUF2794,DUF3138,DUF3573,DUF3922,DUF4156,DUF4248,DUF4254,DUF4301,DUF4362,DUF4381,DUF4442,DUF4469,DUF447,DUF4519,DUF4792,DUF481,DUF4953,DUF4954,DUF4969,DUF4999,DUF5053,DUF5660,DUF5902,DUF6019,DUF6090,DUF6161,DUF6225,DUF6383,DUF6500,DUF6624,DUF6712,DUF6716,DUF6722,DUF6759,DUF6770,Dsl1_C,ECSCR,EpsG,FBXL18_LRR,FGAR.AT_N,FGase,FTCD_N,FYDLN_acid,Fe.ADH,FeoB_N,Fer4_12,Flavi_NS2B,GATase_3,GRP,Gemini_V2,Glucokinase,Glyco_transf,Glycogen_syn,Gp58,HAD_2,HOIP.UBA,HP0268,HTH_18,HTH_ParB,HTH_Tnp,HTS,HU.HIG,HgmA_N,HhH.GPD,HlyD_2,HlyIII,Hypoth_Ymh,IMPa_helical,IPPT,KilA.N,LUD_dom,Lactamase_B_5,LemA,Lyase_aromatic,MCCD1,MacB_PCD,Mal_decarbox_Al,Malic_M,MeaB,Metallophos_3,MqsR_toxin,Mt_ATP.synt_B,MtrB_PioB,MurB_C,NADHdh_A3,NDNF,Nab2p_Zf1,Nop52,OEP,OMP_b.brl_3,OTCace_N,PCRF,PDEase_II,PDGF,PHA_synth_III_E,PRiA4_ORF3,PSRP.3_Ycf65,PTPS,ParB_C,Pectate_lyase,Peptidase,Peroxin.3,PetM,PfkB,PhageMin_Tail,Phage_T4_gp36,Phage_holin_4_1,Phage_portal,Phosphorylase,Porin_10,Pox_L5,Pox_RNA_pol,Pup,Put_Phosphatase,PyrI,RNA12,RNase_E_G,Radical_SAM_C,RecO_C,RelA_AH_RIS,RmlD_sub_bind,Rotamase_2,RuvC_1,S4_2,SAP18,SIMPL,SKN1_KRE6_Sbg1,SLC35F,Sigma54_CBD,Spc24,TIP49_C,TPR_6,TauE,Terminase_3,TnpB_IS66,UDPG_MGDP_dh,UME,UPF0542,UTP25,Ubiq_cyt_C_chap,V_ATPase_I,Vault_2,WYL,YbjQ_1,tRNA.synt_2,tRNA.synt_2c
1,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0.462962963,0,0.425925926,0,0,0,0,0.555555556,0,0,0,0,0,0,0.37037037,0,0,0,0,0,0,0.833333333,0,0,0,0,0.703703704,0,0,0,0,0,0,0,0.87037037,0,0,0,0,0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.5,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462962963,0,0,0,0,0,0,0,0,0,0.388888889,0,0,0,0,0,0,0,0.648148148,0,0,0,0,0,0,0,0.018518519,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.62962963,0,0,0.481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.685185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0.069767442,0,0,0,0,0,0,0.023255814,0,0,0,0.023255814,0.372093023,0,0.441860465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046511628,0,0,0.069767442,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0.069767442,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0.046511628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046511628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046511628,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069767442,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0.043010753,0,0.365591398,0,0,0,0,0.892473118,0,0,0,0,0,0,0,0,0.688172043,0,0,0.010752688,0.569892473,0,0,0,0,0,0,0.462365591,0,0,0.47311828,0.688172043,0,0,0,0,0.505376344,0,0,0,0,0.483870968,0.935483871,0.537634409,0.301075269,0,0,0,0,0,0.47311828,0,0.806451613,0,0.311827957,0,0,0,0,0,0,0,0.612903226,0,0,0,0,0,0.333333333,0,0,0.677419355,0,0,0,0.483870968,0,0.76344086,0,0,0,0,0,0.47311828,0,0,0,0,0.021505376,0.494623656,0,0.23655914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88172043,0,0.849462366,0,0.494623656,0,0,0,0.731182796,0,0.677419355,0.698924731,0,0,0,0,0.311827957,0,0,0,0.086021505,0,0,0,0,0,0,0,0,0,0,0,0,0.52688172,0,0,0,0.548387097,0,0,0.537634409,0.301075269,0,0,0,0.322580645,0,0.591397849,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368421053,0,0,0,0,0,0,0,0,0,0,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184210526,0,0,0,0,0,0,0
18,0,0.80952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0
20,0.916666667,0,0,0,0,0.916666667,0,0.944444444,0,0.916666667,0,0,0,0,0,0,0.944444444,0,0.944444444,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916666667,0,0,0,0,0,0,0.944444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944444444,0,0,0,0,0,0,0.916666667,0,0,0,0,0,0,0.916666667,0,0,0.972222222,0.944444444,0,0,0.388888889,0,0,1,0,0,0,0,0,1,0.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972222222,0,0,0,0,0,0,0.916666667,0,0,0,0,1.083333333,0,0,0,0.916666667,0,0,0,0,0,0.916666667,0,0.944444444,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0.740740741,0,0,0,0,0,0,0,0,0,0.925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925925926,0,0,0.740740741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925925926,0,0,0,0,0,0,0,0,0,0.740740741,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962962963,0,0,0,0,0,0,0,0,0.962962963,0,0,0,0,0,0,0,0.962962963,0.962962963,0,0,0,0,0,0,0.777777778,0,0,0.925925926,0,0,0,0.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925925926,0.740740741,0,0.962962963,0,0,0
60,0,0,0,0,0.93902439,0,0.914634146,0,0.329268293,0,0.548780488,0.817073171,0,0,0,0,0,0,0,0,0,0,0,0.865853659,0,0.463414634,0.426829268,0.756097561,0,0,0,0,0,0,0,0.853658537,0,0,0,0,0,0,0,0,0,0,0.475609756,0,0,0,0,0,0,0,0,0,0,0.853658537,0,0,0,0.317073171,0,0.658536585,0,0,0,0,0,0,0,0,0.402439024,0,0,0.914634146,0,0,0.695121951,0,0,0,0,0,0,0.951219512,0,0,0.829268293,0,0,0,0,0,0,0.914634146,0,0,0,0,0,0,0.975609756,0,0,0,0.719512195,0.768292683,0,0,0,0,0,0.853658537,0,0,0,0,0.719512195,0,0,0,0,0,0.768292683,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585365854,0,0,0,0.012195122,0.756097561,0,0,0,0,0,0.853658537,0,0,0,0.426829268,0.768292683,0,0.951219512,0,0,0,0,0,0,0,0,0,0,0.841463415,0,0,0,0,0,0,0
62,0,0,0.615384615,0,0,0,0,0.948717949,0,0,0,0,0,0,0,0,0,0,0,0,0.948717949,0.974358974,0,0,0,0,0,0,0,0,0,0,0,0,0.641025641,0,0,0,0,0,0.615384615,0,0,0,0.948717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282051282,0,0,0,0,0,0.615384615,0,0,0,0.666666667,0,0.461538462,0,0,0,0,0,0.615384615,0,0.333333333,0,0.948717949,0.564102564,0,0,0.615384615,0,0,0,0,0,0,0,0.051282051,0.948717949,0.025641026,0,0,0,0,1,0,0,0,1.897435897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58974359,0,0,0,0,0,0.333333333,0,0,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0.948717949,0,0,0,0,0,0,0,0,0,0.615384615,0,0,0,0,0,0,0,0.307692308,0,0,0,0.461538462,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0,0,0,0,0,0,1,0,1,0,0,0.730769231,0,0.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769,0,0,0,0,0,0,0,0.923076923,0,0,0,0.884615385,0.769230769,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923,0,0,0,0,0,0.538461538,0,0,0.807692308,0,0,0,0.884615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769,0,0.923076923,0,0,0,0,0,0,0,0,0,0,0.769230769,0,0,0,0,0.769230769,0,0,0,0,0,0,0.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769231,0,1,0.769230769
