cluster_no,virsort_linear,virsort_circular,virsort_cell,virsort_dsDNAphage,virsort_ssDNAphage,virsort_RNAphage,virsort_lavidaviridae,virsort_ncldv,plasme_linear,plasme_circular
cluster_1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9814814814814815,0.018518518518518517
cluster_4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_5,0.125,0.0,0.875,0.0,0.0,0.0,0.0625,0.0625,1.0,0.0
cluster_7,0.989247311827957,0.0,0.010752688172043001,0.8494623655913979,0.0,0.0,0.13978494623655913,0.0,1.0,0.0
cluster_14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_41,0.06666666666666667,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,1.0,0.0
cluster_42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_51,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
